hex_id,lat,lng,district,ndvi,ndvi_trend_3y,lst_c,pop_density,built_density,road_density,dist_road_m,impervious,elevation_m,landuse,structural_component,behavioural_component,eco_risk_true,high_risk_true,rep_count,rep_sev_mean,rep_sev_max,rep_trust_sum,rep_verified_share,rep_uniq_users,rep_behav_share,rep_late_share
H00013,43.14,76.87747571221902,Бостандык,0.488,-0.019,21.0,5086.0,0.129,0.283,390.0,0.11,1629.0,Жилая,-2.714,-0.425,3.178,0,1.0,2.0,2.0,0.764,1.0,1.0,1.0,0.0
H00014,43.14,76.88497384392818,Бостандык,0.507,0.012,21.2,5185.0,0.13,0.28,393.0,0.071,1640.0,Парк/сквер,-3.791,-0.381,3.088,0,1.0,2.0,2.0,0.246,0.0,1.0,1.0,1.0
H00015,43.14,76.89247197563733,Бостандык,0.49,0.008,24.0,4992.0,0.13,0.275,259.0,0.061,1661.0,Жилая,-2.652,0.262,3.228,0,10.0,2.4,5.0,5.554,0.6,10.0,0.8,0.6
H00016,43.14,76.89997010734649,Бостандык,0.555,0.034,21.4,4516.0,0.128,0.27,224.0,0.132,1642.0,Парк/сквер,-3.91,-1.567,1.53,0,4.0,2.5,4.0,2.26,0.0,4.0,1.0,0.5
H00017,43.14,76.90746823905565,Бостандык,0.536,0.006,20.0,5175.0,0.124,0.263,288.0,0.13,1634.0,Парк/сквер,-3.459,-0.356,3.609,0,4.0,4.5,5.0,1.596,0.75,4.0,1.0,0.5
H00018,43.14,76.9149663707648,Бостандык,0.501,0.012,20.0,3947.0,0.12,0.257,281.0,0.074,1652.0,Жилая,-3.466,-1.053,1.799,0,3.0,1.3333333333333333,2.0,1.576,0.6666666666666666,3.0,0.3333333333333333,0.3333333333333333
H00019,43.14,76.92246450247396,Бостандык,0.484,0.009,21.4,4915.0,0.114,0.25,327.0,0.048,1693.0,Парк/сквер,-3.351,-0.505,3.305,0,2.0,1.5,2.0,0.625,1.0,2.0,0.5,1.0
H00020,43.14,76.92996263418311,Бостандык,0.555,0.03,22.4,4123.0,0.108,0.244,315.0,0.058,1656.0,Парк/сквер,-4.297,-0.009,2.155,0,1.0,1.0,1.0,0.235,1.0,1.0,1.0,1.0
H00021,43.14,76.93746076589227,Бостандык,0.595,0.031,19.9,5545.0,0.101,0.238,340.0,0.039,1665.0,Парк/сквер,-5.142,-0.035,3.514,0,2.0,1.0,1.0,1.0010000000000001,0.5,2.0,0.5,0.5
H00022,43.14,76.94495889760142,Бостандык,0.562,0.023,21.9,4057.0,0.094,0.232,313.0,0.11,1696.0,Парк/сквер,-4.145,-0.677,1.892,0,1.0,3.0,3.0,0.349,1.0,1.0,1.0,1.0
H00023,43.14,76.95245702931058,Бостандык,0.615,0.019,19.5,5028.0,0.087,0.227,301.0,0.05,1678.0,Парк/сквер,-4.879,0.156,3.071,0,8.0,2.375,5.0,3.973,0.375,8.0,0.875,0.5
H00024,43.14,76.95995516101974,Медеу,0.533,0.014,18.0,3219.0,0.079,0.222,275.0,0.02,1692.0,Парк/сквер,-4.284,-1.75,1.808,0,2.0,1.0,1.0,1.062,1.0,2.0,0.5,0.5
H00025,43.14,76.96745329272889,Медеу,0.537,0.006,20.6,2964.0,0.073,0.218,241.0,0.119,1713.0,Парк/сквер,-3.392,-0.445,4.198,0,1.0,2.0,2.0,0.449,1.0,1.0,1.0,0.0
H00026,43.14,76.97495142443805,Медеу,0.641,0.008,18.1,5286.0,0.066,0.214,286.0,0.02,1765.0,Пустырь,-5.045,1.843,3.532,0,61.0,2.5901639344262297,5.0,30.22,0.7540983606557377,53.0,0.8688524590163934,0.6557377049180327
H00027,43.14,76.9824495561472,Медеу,0.579,-0.003,19.4,2760.0,0.061,0.211,292.0,0.02,1722.0,Парк/сквер,-4.115,0.451,3.316,0,17.0,2.2941176470588234,4.0,7.274,0.5882352941176471,17.0,0.7647058823529411,0.6470588235294118
H00028,43.14,76.98994768785636,Медеу,0.541,0.033,21.2,3707.0,0.056,0.207,251.0,0.036,1747.0,Жилая,-4.401,-0.513,2.148,0,3.0,3.0,4.0,1.699,0.6666666666666666,3.0,1.0,0.6666666666666666
H00029,43.14,76.99744581956551,Медеу,0.555,0.002,18.9,3470.0,0.052,0.204,278.0,0.02,1759.0,Парк/сквер,-4.113,0.588,3.146,0,17.0,2.5294117647058822,4.0,8.946,0.7058823529411765,15.0,1.0,0.5294117647058824
H00030,43.14,77.00494395127467,Медеу,0.623,0.039,21.4,3011.0,0.048,0.2,340.0,0.042,1751.0,Жилая,-5.563,0.658,2.284,0,15.0,2.2,5.0,8.138,0.6666666666666666,15.0,0.7333333333333333,0.7333333333333333
H00031,43.14,77.01244208298382,Медеу,0.612,-0.003,18.8,3315.0,0.045,0.197,334.0,0.02,1734.0,Парк/сквер,-4.663,-0.124,2.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00032,43.14,77.01994021469298,Медеу,0.662,0.042,18.0,2563.0,0.043,0.193,309.0,0.02,1752.0,Пустырь,-6.331,0.306,1.761,0,14.0,2.142857142857143,4.0,6.13,0.7142857142857143,14.0,0.8571428571428571,0.5714285714285714
H00033,43.14,77.02743834640214,Медеу,0.55,0.045,19.6,3038.0,0.042,0.19,396.0,0.034,1833.0,Коммерческая,-5.655,-0.37,1.425,0,3.0,2.6666666666666665,4.0,1.366,0.6666666666666666,3.0,0.6666666666666666,1.0
H00034,43.14,77.03493647811129,Медеу,0.569,0.022,18.2,2891.0,0.04,0.187,259.0,0.02,1802.0,Парк/сквер,-4.821,-0.622,1.829,0,3.0,1.6666666666666667,2.0,1.392,0.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
H00035,43.14,77.04243460982045,Медеу,0.533,0.044,22.0,3722.0,0.04,0.184,362.0,0.02,1809.0,Коммерческая,-5.11,-1.098,1.618,0,1.0,4.0,4.0,0.41,1.0,1.0,1.0,1.0
H00036,43.14,77.0499327415296,Медеу,0.643,-0.001,19.9,1978.0,0.039,0.182,289.0,0.02,1875.0,Транспорт,-4.665,1.507,4.077,0,47.0,2.74468085106383,5.0,25.391,0.574468085106383,45.0,0.851063829787234,0.7446808510638298
H00037,43.14,77.05743087323876,Медеу,0.609,0.032,19.3,2611.0,0.039,0.18,247.0,0.02,1782.0,Парк/сквер,-5.235,-0.399,2.396,0,1.0,3.0,3.0,0.488,1.0,1.0,1.0,0.0
H00038,43.14,77.06492900494791,Медеу,0.596,0.001,20.9,2669.0,0.039,0.18,327.0,0.02,1821.0,Парк/сквер,-4.405,-0.12,2.777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00039,43.14,77.07242713665707,Медеу,0.642,0.025,19.2,3032.0,0.039,0.18,355.0,0.02,1880.0,Парк/сквер,-5.752,-0.714,1.669,0,1.0,2.0,2.0,0.315,0.0,1.0,1.0,1.0
H00040,43.14,77.07992526836622,Медеу,0.592,0.032,19.0,1921.0,0.039,0.18,288.0,0.02,1850.0,Парк/сквер,-5.313,-2.036,0.572,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00041,43.14,77.08742340007538,Медеу,0.634,0.007,18.9,1865.0,0.04,0.182,380.0,0.026,1854.0,Жилая,-5.309,-0.973,1.954,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00042,43.14,77.09492153178454,Медеу,0.664,0.012,20.5,3202.0,0.04,0.184,306.0,0.02,1871.0,Коммерческая,-5.19,-1.731,0.884,0,3.0,1.3333333333333333,2.0,1.5779999999999998,0.6666666666666666,3.0,0.6666666666666666,0.3333333333333333
H00043,43.14472972972973,76.78374906585458,Алмалы,0.469,0.022,21.9,2786.0,0.051,0.253,273.0,0.098,1526.0,Жилая,-3.418,-0.648,2.615,0,2.0,2.0,3.0,1.501,1.0,2.0,1.0,0.5
H00044,43.14472972972973,76.79124719756373,Алмалы,0.45,0.032,22.8,1858.0,0.055,0.255,305.0,0.02,1524.0,Коммерческая,-3.722,-0.368,2.461,0,1.0,1.0,1.0,0.551,1.0,1.0,1.0,0.0
H00045,43.14472972972973,76.79874532927289,Алмалы,0.463,0.05,19.4,3083.0,0.06,0.259,364.0,0.033,1520.0,Парк/сквер,-4.951,-0.797,1.297,0,1.0,1.0,1.0,0.754,0.0,1.0,1.0,0.0
H00046,43.14472972972973,76.80624346098205,Алмалы,0.531,0.015,21.5,3837.0,0.067,0.263,250.0,0.02,1540.0,Жилая,-3.792,-1.637,2.172,0,1.0,1.0,1.0,0.815,1.0,1.0,1.0,1.0
H00047,43.14472972972973,76.8137415926912,Алмалы,0.506,0.022,21.5,4150.0,0.075,0.268,208.0,0.02,1527.0,Пустырь,-3.587,-0.082,2.942,0,2.0,3.5,4.0,1.1199999999999999,1.0,2.0,0.0,1.0
H00048,43.14472972972973,76.82123972440036,Алмалы,0.495,0.03,21.6,3195.0,0.085,0.273,217.0,0.13,1525.0,Жилая,-3.447,-1.104,3.806,0,2.0,3.0,3.0,1.2280000000000002,0.5,2.0,1.0,0.5
H00049,43.14472972972973,76.82873785610951,Алмалы,0.462,0.029,20.3,4159.0,0.095,0.279,373.0,0.034,1571.0,Парк/сквер,-4.164,-0.027,3.633,0,3.0,4.0,5.0,1.228,0.3333333333333333,3.0,1.0,0.0
H00050,43.14472972972973,76.83623598781867,Алмалы,0.445,0.007,23.3,3455.0,0.105,0.284,286.0,0.046,1564.0,Парк/сквер,-2.598,0.084,3.506,0,7.0,2.7142857142857144,4.0,3.461,0.8571428571428571,7.0,1.0,0.42857142857142855
H00051,43.14472972972973,76.84373411952782,Алмалы,0.445,0.01,22.7,3832.0,0.116,0.289,307.0,0.077,1573.0,Парк/сквер,-2.736,-1.597,3.243,0,1.0,2.0,2.0,0.558,1.0,1.0,1.0,1.0
H00052,43.14472972972973,76.85123225123698,Алмалы,0.531,0.017,23.0,5576.0,0.125,0.293,319.0,0.048,1617.0,Промышленная,-3.653,0.549,3.352,0,19.0,2.6842105263157894,5.0,11.698,0.5789473684210527,17.0,1.0,0.5263157894736842
H00053,43.14472972972973,76.85873038294613,Алмалы,0.449,0.022,20.7,4584.0,0.134,0.296,276.0,0.115,1601.0,Промышленная,-3.077,-0.314,3.66,0,1.0,3.0,3.0,0.461,1.0,1.0,0.0,0.0
H00054,43.14472972972973,76.86622851465529,Алмалы,0.481,0.03,22.0,4536.0,0.141,0.297,268.0,0.107,1581.0,Парк/сквер,-3.333,1.096,3.654,0,32.0,3.03125,5.0,17.605,0.625,29.0,0.84375,0.46875
H00055,43.14472972972973,76.87372664636445,Алмалы,0.502,-0.03,23.4,4716.0,0.146,0.296,320.0,0.152,1604.0,Жилая,-1.763,0.113,3.783,0,5.0,2.2,3.0,1.872,0.6,5.0,0.8,0.6
H00056,43.14472972972973,76.8812247780736,Бостандык,0.478,0.01,23.9,5837.0,0.15,0.294,281.0,0.193,1616.0,Жилая,-2.34,-1.834,2.392,0,1.0,2.0,2.0,0.15,0.0,1.0,0.0,1.0
H00057,43.14472972972973,76.88872290978276,Бостандык,0.464,0.027,22.2,5858.0,0.151,0.29,203.0,0.179,1632.0,Парк/сквер,-2.639,0.077,3.178,0,5.0,3.2,4.0,2.6500000000000004,0.8,5.0,0.8,0.8
H00058,43.14472972972973,76.89622104149191,Бостандык,0.472,0.012,21.6,5737.0,0.15,0.285,323.0,0.055,1622.0,Парк/сквер,-3.15,-2.141,2.116,0,3.0,3.0,4.0,1.294,0.6666666666666666,3.0,1.0,0.3333333333333333
H00059,43.14472972972973,76.90371917320107,Бостандык,0.499,-0.008,20.3,6166.0,0.147,0.279,242.0,0.117,1612.0,Пустырь,-2.49,-0.133,4.684,0,2.0,2.5,3.0,0.893,0.5,2.0,1.0,1.0
H00060,43.14472972972973,76.91121730491022,Бостандык,0.626,0.01,20.1,5595.0,0.143,0.272,390.0,0.02,1662.0,Транспорт,-4.879,-0.099,3.374,0,4.0,3.0,4.0,1.433,0.25,4.0,0.5,0.5
H00061,43.14472972972973,76.91871543661938,Бостандык,0.505,0.012,20.4,6341.0,0.137,0.264,270.0,0.087,1642.0,Парк/сквер,-3.297,0.337,3.702,0,17.0,2.5294117647058822,5.0,8.773,0.5882352941176471,15.0,0.9411764705882353,0.7058823529411765
H00062,43.14472972972973,76.92621356832854,Бостандык,0.539,0.018,24.6,5354.0,0.13,0.257,276.0,0.064,1635.0,Парк/сквер,-3.317,-1.254,1.953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00063,43.14472972972973,76.93371170003769,Бостандык,0.54,0.007,22.2,5312.0,0.122,0.25,313.0,0.02,1672.0,Промышленная,-3.591,-0.903,2.594,0,2.0,2.0,2.0,0.976,0.5,2.0,1.0,0.5
H00064,43.14472972972973,76.94120983174685,Бостандык,0.472,0.022,21.4,5047.0,0.114,0.243,307.0,0.041,1671.0,Парк/сквер,-3.558,-2.084,1.841,0,2.0,3.0,4.0,1.3679999999999999,1.0,2.0,1.0,1.0
H00065,43.14472972972973,76.948707963456,Бостандык,0.52,-0.005,21.0,4577.0,0.105,0.237,278.0,0.094,1706.0,Жилая,-3.027,-0.876,2.698,0,4.0,3.25,5.0,1.8499999999999999,0.5,4.0,0.75,1.0
H00066,43.14472972972973,76.95620609516516,Медеу,0.551,0.017,20.6,5646.0,0.096,0.231,296.0,0.121,1688.0,Парк/сквер,-3.958,0.876,3.418,0,27.0,3.0,5.0,13.975999999999999,0.4444444444444444,25.0,0.8148148148148148,0.6666666666666666
H00067,43.14472972972973,76.96370422687431,Медеу,0.577,0.027,20.9,3273.0,0.087,0.226,238.0,0.034,1663.0,Коммерческая,-4.386,-1.112,1.385,0,3.0,1.6666666666666667,2.0,0.986,0.6666666666666666,3.0,0.6666666666666666,0.3333333333333333
H00068,43.14472972972973,76.97120235858347,Медеу,0.545,0.022,22.3,3931.0,0.079,0.221,225.0,0.02,1721.0,Парк/сквер,-3.84,0.026,2.656,0,2.0,2.0,2.0,0.753,0.5,2.0,1.0,1.0
H00069,43.14472972972973,76.97870049029262,Медеу,0.57,0.013,20.7,3309.0,0.072,0.216,296.0,0.038,1689.0,Коммерческая,-4.282,-0.405,2.57,0,1.0,4.0,4.0,0.529,1.0,1.0,1.0,1.0
H00070,43.14472972972973,76.98619862200178,Медеу,0.675,-0.002,20.3,5041.0,0.065,0.212,256.0,0.063,1752.0,Жилая,-4.517,-1.463,2.505,0,2.0,3.0,3.0,1.328,1.0,2.0,0.0,0.5
H00071,43.14472972972973,76.99369675371094,Медеу,0.562,0.039,20.8,4389.0,0.059,0.207,304.0,0.02,1749.0,Пустырь,-5.046,1.008,3.212,0,29.0,2.2758620689655173,4.0,15.807,0.6551724137931034,26.0,0.9310344827586207,0.6206896551724138
H00072,43.14472972972973,77.00119488542009,Медеу,0.581,0.029,21.2,3100.0,0.054,0.203,281.0,0.02,1744.0,Жилая,-4.776,0.442,2.335,0,13.0,2.4615384615384617,5.0,6.785,0.6153846153846154,12.0,0.6923076923076923,0.6153846153846154
H00073,43.14472972972973,77.00869301712925,Медеу,0.576,0.05,19.2,3547.0,0.05,0.199,210.0,0.054,1690.0,Жилая,-5.217,0.347,3.084,0,11.0,2.6363636363636362,5.0,5.8870000000000005,0.7272727272727273,9.0,0.9090909090909091,0.36363636363636365
H00074,43.14472972972973,77.0161911488384,Медеу,0.558,0.037,22.7,2124.0,0.047,0.195,340.0,0.02,1774.0,Транспорт,-4.892,-0.171,2.859,0,3.0,3.0,4.0,1.737,1.0,3.0,1.0,0.6666666666666666
H00075,43.14472972972973,77.02368928054756,Медеу,0.532,0.004,18.0,2548.0,0.044,0.191,348.0,0.02,1754.0,Парк/сквер,-4.403,-0.428,2.57,0,3.0,3.0,3.0,1.449,0.6666666666666666,3.0,1.0,0.6666666666666666
H00076,43.14472972972973,77.03118741225671,Медеу,0.639,0.003,21.0,3016.0,0.042,0.188,257.0,0.065,1762.0,Парк/сквер,-4.377,1.271,2.547,0,41.0,2.4146341463414633,5.0,19.168,0.4634146341463415,40.0,0.8048780487804879,0.5609756097560976
H00077,43.14472972972973,77.03868554396587,Медеу,0.692,0.012,18.5,1823.0,0.041,0.185,368.0,0.02,1766.0,Жилая,-5.908,0.708,1.585,0,21.0,1.9047619047619047,5.0,11.44,0.7619047619047619,21.0,0.9047619047619048,0.42857142857142855
H00078,43.14472972972973,77.04618367567502,Медеу,0.603,0.016,21.0,1197.0,0.04,0.182,307.0,0.02,1747.0,Парк/сквер,-4.776,-0.984,2.818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00079,43.14472972972973,77.05368180738418,Медеу,0.588,0.016,20.7,1476.0,0.04,0.18,331.0,0.078,1781.0,Парк/сквер,-4.667,-2.04,1.595,0,2.0,3.0,4.0,1.384,1.0,2.0,1.0,0.5
H00080,43.14472972972973,77.06117993909334,Медеу,0.618,0.023,19.7,4364.0,0.039,0.179,362.0,0.02,1789.0,Парк/сквер,-5.472,0.48,2.163,0,13.0,2.4615384615384617,4.0,7.104,0.6923076923076923,13.0,0.8461538461538461,0.6153846153846154
H00081,43.14472972972973,77.06867807080249,Медеу,0.604,0.006,21.0,2225.0,0.039,0.178,385.0,0.02,1843.0,Парк/сквер,-4.832,-2.9,0.929,0,3.0,1.3333333333333333,2.0,1.208,1.0,3.0,0.0,0.3333333333333333
H00082,43.14472972972973,77.07617620251165,Медеу,0.641,0.019,18.5,1450.0,0.039,0.179,320.0,0.02,1802.0,Жилая,-5.512,-1.331,0.698,0,1.0,1.0,1.0,0.666,1.0,1.0,0.0,1.0
H00083,43.14472972972973,77.0836743342208,Медеу,0.588,0.01,21.4,2713.0,0.039,0.18,310.0,0.02,1842.0,Парк/сквер,-4.45,-0.791,2.147,0,2.0,3.5,5.0,0.677,0.5,2.0,0.5,1.0
H00084,43.14472972972973,77.09117246592996,Медеу,0.592,0.017,18.9,3300.0,0.04,0.182,276.0,0.02,1833.0,Коммерческая,-4.838,-0.491,0.822,0,3.0,1.6666666666666667,2.0,1.168,0.6666666666666666,3.0,0.3333333333333333,1.0
H00085,43.14472972972973,77.09867059763911,Медеу,0.549,0.033,18.1,2160.0,0.04,0.184,287.0,0.02,1872.0,Коммерческая,-5.104,-1.064,1.112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00086,43.149459459459464,76.78,Алмалы,0.41,-0.011,21.3,3312.0,0.05,0.252,242.0,0.028,1440.0,Транспорт,-2.154,-1.335,3.921,0,2.0,5.0,5.0,1.2189999999999999,0.5,2.0,1.0,0.0
H00087,43.149459459459464,76.78749813170916,Алмалы,0.42,-0.001,20.6,2625.0,0.054,0.255,288.0,0.041,1489.0,Парк/сквер,-2.738,-2.327,2.734,0,3.0,2.0,3.0,1.863,0.6666666666666666,3.0,1.0,0.3333333333333333
H00088,43.149459459459464,76.79499626341831,Алмалы,0.56,-0.006,18.0,4414.0,0.06,0.259,277.0,0.031,1450.0,Парк/сквер,-3.986,0.398,3.263,0,12.0,3.25,5.0,6.7620000000000005,0.3333333333333333,12.0,0.75,0.6666666666666666
H00089,43.149459459459464,76.80249439512747,Алмалы,0.441,0.013,20.1,2365.0,0.067,0.263,377.0,0.036,1518.0,Парк/сквер,-3.692,-0.224,2.294,0,4.0,2.25,3.0,1.96,0.5,4.0,1.0,0.5
H00090,43.149459459459464,76.80999252683662,Алмалы,0.412,0.021,21.8,3826.0,0.076,0.269,280.0,0.063,1511.0,Парк/сквер,-2.974,-0.526,2.976,0,2.0,1.5,2.0,0.8280000000000001,0.5,2.0,1.0,0.5
H00091,43.149459459459464,76.81749065854578,Алмалы,0.406,0.015,23.5,2981.0,0.086,0.275,377.0,0.093,1542.0,Транспорт,-2.849,-1.854,2.538,0,3.0,1.6666666666666667,2.0,1.572,0.6666666666666666,3.0,1.0,1.0
H00092,43.149459459459464,76.82498879025493,Алмалы,0.493,-0.002,23.1,4597.0,0.098,0.282,287.0,0.118,1535.0,Коммерческая,-2.621,-0.099,3.721,0,2.0,2.0,3.0,0.674,1.0,2.0,1.0,0.5
H00093,43.149459459459464,76.83248692196409,Алмалы,0.507,0.029,22.3,4417.0,0.11,0.289,291.0,0.105,1541.0,Транспорт,-3.693,0.17,3.144,0,5.0,3.0,5.0,2.85,0.6,5.0,0.8,0.0
H00094,43.149459459459464,76.83998505367325,Алмалы,0.477,-0.003,21.6,4800.0,0.123,0.295,276.0,0.207,1523.0,Транспорт,-2.305,-1.234,2.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00095,43.149459459459464,76.8474831853824,Алмалы,0.503,0.006,22.2,5378.0,0.135,0.301,331.0,0.02,1567.0,Парк/сквер,-3.311,-1.24,3.014,0,4.0,4.0,5.0,1.96,0.75,4.0,1.0,0.75
H00096,43.149459459459464,76.85498131709156,Алмалы,0.522,0.001,19.2,3840.0,0.147,0.306,277.0,0.113,1549.0,Жилая,-3.225,-0.389,3.556,0,3.0,2.6666666666666665,3.0,1.538,1.0,3.0,0.6666666666666666,0.6666666666666666
H00097,43.149459459459464,76.86247944880071,Алмалы,0.557,0.018,21.3,5154.0,0.156,0.309,311.0,0.185,1554.0,Парк/сквер,-3.645,-0.919,2.284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00098,43.149459459459464,76.86997758050987,Алмалы,0.45,-0.014,21.6,4161.0,0.164,0.31,282.0,0.089,1600.0,Жилая,-1.95,-1.095,3.191,0,3.0,2.6666666666666665,4.0,0.999,0.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
H00099,43.149459459459464,76.87747571221902,Бостандык,0.466,0.004,22.2,4571.0,0.17,0.309,322.0,0.196,1634.0,Парк/сквер,-2.411,0.858,4.838,0,30.0,3.533333333333333,5.0,15.542,0.5,28.0,0.7666666666666667,0.5666666666666667
H00100,43.149459459459464,76.88497384392818,Бостандык,0.55,0.005,23.4,4571.0,0.173,0.307,251.0,0.173,1575.0,Парк/сквер,-2.684,-0.185,2.952,0,1.0,1.0,1.0,0.28,1.0,1.0,1.0,0.0
H00101,43.149459459459464,76.89247197563733,Бостандык,0.466,0.0,21.4,6213.0,0.174,0.303,235.0,0.108,1599.0,Промышленная,-2.216,1.063,4.586,0,35.0,3.342857142857143,5.0,18.187,0.4857142857142857,33.0,0.8857142857142857,0.5428571428571428
H00102,43.149459459459464,76.89997010734649,Бостандык,0.443,0.018,23.2,4952.0,0.173,0.297,263.0,0.069,1615.0,Транспорт,-2.512,-0.37,3.484,0,2.0,2.0,3.0,1.063,1.0,2.0,0.5,0.0
H00103,43.149459459459464,76.90746823905565,Бостандык,0.527,0.01,22.7,5726.0,0.169,0.29,349.0,0.025,1638.0,Жилая,-3.495,-2.526,1.762,0,1.0,4.0,4.0,0.452,0.0,1.0,1.0,0.0
H00104,43.149459459459464,76.9149663707648,Бостандык,0.517,0.011,22.5,6696.0,0.163,0.282,275.0,0.169,1600.0,Парк/сквер,-2.844,-0.002,3.942,0,3.0,2.6666666666666665,5.0,1.462,0.6666666666666666,3.0,0.3333333333333333,1.0
H00105,43.149459459459464,76.92246450247396,Бостандык,0.554,0.025,20.6,6055.0,0.156,0.274,363.0,0.02,1631.0,Жилая,-4.49,-0.505,2.13,0,7.0,2.7142857142857144,5.0,2.823,0.5714285714285714,7.0,0.7142857142857143,0.5714285714285714
H00106,43.149459459459464,76.92996263418311,Бостандык,0.504,0.001,21.5,7262.0,0.147,0.266,264.0,0.02,1613.0,Транспорт,-2.936,-1.393,2.864,0,3.0,3.0,4.0,1.605,0.6666666666666666,3.0,1.0,0.6666666666666666
H00107,43.149459459459464,76.93746076589227,Бостандык,0.559,0.028,22.2,6353.0,0.138,0.258,365.0,0.094,1659.0,Транспорт,-4.327,-0.724,2.412,0,1.0,2.0,2.0,0.453,1.0,1.0,0.0,0.0
H00108,43.149459459459464,76.94495889760142,Бостандык,0.573,0.008,20.9,5177.0,0.128,0.251,290.0,0.081,1675.0,Парк/сквер,-3.797,-0.43,3.216,0,5.0,2.8,4.0,3.259,1.0,5.0,0.8,0.8
H00109,43.149459459459464,76.95245702931058,Бостандык,0.494,0.008,22.4,4926.0,0.117,0.243,419.0,0.09,1683.0,Парк/сквер,-3.547,-0.403,2.485,0,3.0,1.6666666666666667,2.0,0.8250000000000001,0.3333333333333333,3.0,0.6666666666666666,0.3333333333333333
