report_id,hex_id,district,lat,lng,category,severity,user_id,user_trust,verified,date,month
R000065,H00010,Алмалы,43.14,76.85498,Пень / вырубка,4,U03909,0.588,1,2027-03-08,2027-03
R000066,H00010,Алмалы,43.14,76.85498,Переполненный бак,4,U00807,0.82,0,2027-05-06,2027-05
R000067,H00010,Алмалы,43.14,76.85498,Асфальтированный газон,4,U03517,0.28,1,2027-05-09,2027-05
R000068,H00010,Алмалы,43.14,76.85498,Засохшее дерево,2,U00189,0.401,1,2027-03-05,2027-03
R000069,H00010,Алмалы,43.14,76.85498,Стихийная свалка,3,U04527,0.762,0,2026-11-24,2026-11
R000070,H00010,Алмалы,43.14,76.85498,Парковка на газоне,1,U03886,0.843,1,2026-11-21,2026-11
R000071,H00010,Алмалы,43.14,76.85498,Сломанная скамейка/фонарь,5,U04799,0.688,1,2027-02-18,2027-02
R000072,H00010,Алмалы,43.14,76.85498,Подтопление,4,U04896,0.434,0,2027-06-08,2027-06
R000073,H00010,Алмалы,43.14,76.85498,Асфальтированный газон,1,U01820,0.618,0,2026-11-17,2026-11
R000074,H00010,Алмалы,43.14,76.85498,Загрязнённый арык,3,U02205,0.768,0,2027-01-21,2027-01
R000075,H00010,Алмалы,43.14,76.85498,Парковка на газоне,3,U04599,0.403,0,2027-05-10,2027-05
R000076,H00010,Алмалы,43.14,76.85498,Засохшее дерево,4,U01274,0.39,1,2026-11-29,2026-11
R000077,H00010,Алмалы,43.14,76.85498,Засохшее дерево,4,U01738,0.179,1,2027-06-11,2027-06
R000078,H00010,Алмалы,43.14,76.85498,Асфальтированный газон,2,U00375,0.168,1,2027-04-11,2027-04
R000079,H00010,Алмалы,43.14,76.85498,Парковка на газоне,5,U04495,0.828,1,2027-02-24,2027-02
R000080,H00010,Алмалы,43.14,76.85498,Засохшее дерево,4,U04942,0.543,1,2027-05-26,2027-05
R000081,H00010,Алмалы,43.14,76.85498,Пень / вырубка,3,U03719,0.908,1,2027-02-14,2027-02
R000082,H00010,Алмалы,43.14,76.85498,Стихийная свалка,4,U01146,0.734,1,2027-04-20,2027-04
R000083,H00010,Алмалы,43.14,76.85498,Загрязнённый арык,2,U04495,0.828,1,2027-03-16,2027-03
R000084,H00010,Алмалы,43.14,76.85498,Переполненный бак,3,U05047,0.358,0,2027-02-28,2027-02
R000085,H00010,Алмалы,43.14,76.85498,Подтопление,2,U04232,0.556,1,2026-12-10,2026-12
R000086,H00010,Алмалы,43.14,76.85498,Подтопление,4,U01519,0.653,1,2027-05-12,2027-05
R000087,H00010,Алмалы,43.14,76.85498,Дымящая труба,5,U02707,0.246,0,2027-01-10,2027-01
R000088,H00010,Алмалы,43.14,76.85498,Дымящая труба,5,U04527,0.762,1,2027-04-18,2027-04
R000089,H00010,Алмалы,43.14,76.85498,Парковка на газоне,3,U04274,0.334,1,2027-05-13,2027-05
R000090,H00010,Алмалы,43.14,76.85498,Сломанная скамейка/фонарь,2,U03107,0.638,0,2026-10-19,2026-10
R000091,H00010,Алмалы,43.14,76.85498,Стихийная свалка,5,U02277,0.702,1,2027-05-07,2027-05
R000092,H00010,Алмалы,43.14,76.85498,Стихийная свалка,3,U03978,0.519,1,2027-05-20,2027-05
R000093,H00011,Алмалы,43.14,76.86248,Сломанная скамейка/фонарь,3,U03545,0.49,1,2026-12-01,2026-12
R000094,H00011,Алмалы,43.14,76.86248,Загрязнённый арык,2,U01780,0.15,1,2027-03-24,2027-03
R000095,H00011,Алмалы,43.14,76.86248,Отсутствие озеленения,1,U04495,0.828,1,2027-03-26,2027-03
R000096,H00011,Алмалы,43.14,76.86248,Дымящая труба,2,U03777,0.61,1,2027-05-08,2027-05
R000097,H00011,Алмалы,43.14,76.86248,Загрязнённый арык,4,U01493,0.543,1,2027-02-08,2027-02
R000098,H00011,Алмалы,43.14,76.86248,Подтопление,3,U02784,0.335,0,2027-05-04,2027-05
R000099,H00011,Алмалы,43.14,76.86248,Отсутствие озеленения,5,U00631,0.64,1,2027-04-30,2027-04
R000100,H00011,Алмалы,43.14,76.86248,Стихийная свалка,3,U03383,0.688,1,2027-03-30,2027-03
R000101,H00011,Алмалы,43.14,76.86248,Дымящая труба,5,U04079,0.207,0,2027-02-05,2027-02
R000102,H00011,Алмалы,43.14,76.86248,Дымящая труба,2,U04701,0.274,1,2027-04-04,2027-04
R000103,H00011,Алмалы,43.14,76.86248,Отсутствие озеленения,5,U04274,0.334,0,2027-01-23,2027-01
R000104,H00011,Алмалы,43.14,76.86248,Пень / вырубка,2,U00904,0.873,1,2027-02-10,2027-02
R000105,H00011,Алмалы,43.14,76.86248,Стихийная свалка,3,U02775,0.399,0,2027-05-11,2027-05
R000106,H00011,Алмалы,43.14,76.86248,Загрязнённый арык,3,U01194,0.571,1,2026-09-21,2026-09
R000107,H00011,Алмалы,43.14,76.86248,Пень / вырубка,5,U01749,0.321,0,2026-12-07,2026-12
R000108,H00011,Алмалы,43.14,76.86248,Пень / вырубка,4,U00403,0.299,1,2027-02-05,2027-02
R000109,H00011,Алмалы,43.14,76.86248,Сломанная скамейка/фонарь,4,U03100,0.506,1,2027-04-19,2027-04
R000110,H00011,Алмалы,43.14,76.86248,Отсутствие озеленения,3,U04496,0.532,1,2027-05-28,2027-05
R000111,H00011,Алмалы,43.14,76.86248,Сломанная скамейка/фонарь,1,U02808,0.391,1,2026-11-12,2026-11
R000112,H00011,Алмалы,43.14,76.86248,Парковка на газоне,3,U03297,0.192,0,2026-12-17,2026-12
R000113,H00011,Алмалы,43.14,76.86248,Сломанная скамейка/фонарь,3,U04219,0.47,1,2026-10-26,2026-10
R000114,H00011,Алмалы,43.14,76.86248,Загрязнённый арык,1,U00531,0.43,0,2027-04-14,2027-04
R000115,H00011,Алмалы,43.14,76.86248,Сломанная скамейка/фонарь,5,U01749,0.321,1,2027-03-23,2027-03
R000116,H00011,Алмалы,43.14,76.86248,Парковка на газоне,4,U02806,0.579,1,2026-11-08,2026-11
R000117,H00011,Алмалы,43.14,76.86248,Засохшее дерево,2,U04468,0.825,0,2027-03-06,2027-03
R000118,H00011,Алмалы,43.14,76.86248,Стихийная свалка,4,U00387,0.379,1,2027-02-03,2027-02
R000119,H00011,Алмалы,43.14,76.86248,Стихийная свалка,4,U01214,0.516,0,2027-05-27,2027-05
R000120,H00012,Алмалы,43.14,76.86998,Стихийная свалка,3,U03857,0.759,1,2026-12-24,2026-12
R000121,H00012,Алмалы,43.14,76.86998,Дымящая труба,4,U03380,0.533,1,2027-06-19,2027-06
R000122,H00012,Алмалы,43.14,76.86998,Отсутствие озеленения,2,U04274,0.334,1,2026-09-08,2026-09
R000123,H00012,Алмалы,43.14,76.86998,Загрязнённый арык,3,U01494,0.553,0,2027-03-05,2027-03
R000124,H00012,Алмалы,43.14,76.86998,Хорошее место,2,U04495,0.828,0,2027-03-08,2027-03
R000125,H00012,Алмалы,43.14,76.86998,Стихийная свалка,5,U05031,0.497,1,2027-03-22,2027-03
R000126,H00012,Алмалы,43.14,76.86998,Парковка на газоне,3,U04274,0.334,0,2027-03-25,2027-03
R000127,H00012,Алмалы,43.14,76.86998,Пень / вырубка,4,U04232,0.556,0,2027-01-27,2027-01
R000128,H00012,Алмалы,43.14,76.86998,Подтопление,3,U00574,0.293,1,2027-03-04,2027-03
R000129,H00012,Алмалы,43.14,76.86998,Сломанная скамейка/фонарь,3,U04232,0.556,0,2027-04-09,2027-04
R000130,H00012,Алмалы,43.14,76.86998,Загрязнённый арык,4,U04970,0.511,0,2027-05-25,2027-05
R000131,H00012,Алмалы,43.14,76.86998,Пень / вырубка,4,U04232,0.556,1,2027-03-14,2027-03
R000132,H00012,Алмалы,43.14,76.86998,Хорошее место,3,U04954,0.666,0,2027-02-28,2027-02
R000133,H00012,Алмалы,43.14,76.86998,Дымящая труба,3,U04552,0.681,1,2027-02-19,2027-02
R000134,H00012,Алмалы,43.14,76.86998,Загрязнённый арык,5,U03633,0.379,1,2026-12-07,2026-12
R000135,H00012,Алмалы,43.14,76.86998,Стихийная свалка,5,U00133,0.783,1,2026-12-20,2026-12
R000136,H00013,Бостандык,43.14,76.87748,Пень / вырубка,2,U02635,0.764,1,2026-11-01,2026-11
R000137,H00014,Бостандык,43.14,76.88497,Загрязнённый арык,2,U02707,0.246,0,2027-05-15,2027-05
R000138,H00015,Бостандык,43.14,76.89247,Хорошее место,2,U00818,0.193,0,2026-12-08,2026-12
R000139,H00015,Бостандык,43.14,76.89247,Пень / вырубка,2,U02883,0.649,0,2026-11-03,2026-11
R000140,H00015,Бостандык,43.14,76.89247,Парковка на газоне,1,U04495,0.828,1,2027-02-17,2027-02
R000141,H00015,Бостандык,43.14,76.89247,Стихийная свалка,3,U03231,0.419,1,2026-12-30,2026-12
R000142,H00015,Бостандык,43.14,76.89247,Засохшее дерево,2,U01994,0.319,1,2027-04-05,2027-04
R000143,H00015,Бостандык,43.14,76.89247,Стихийная свалка,5,U00872,0.729,0,2027-04-01,2027-04
R000144,H00015,Бостандык,43.14,76.89247,Пень / вырубка,4,U03172,0.703,1,2027-02-22,2027-02
R000145,H00015,Бостандык,43.14,76.89247,Сломанная скамейка/фонарь,2,U04369,0.802,1,2027-02-24,2027-02
R000146,H00015,Бостандык,43.14,76.89247,Хорошее место,1,U02055,0.644,1,2027-01-16,2027-01
R000147,H00015,Бостандык,43.14,76.89247,Асфальтированный газон,2,U02017,0.268,0,2027-05-22,2027-05
R000148,H00016,Бостандык,43.14,76.89997,Переполненный бак,3,U02219,0.828,0,2027-04-05,2027-04
R000149,H00016,Бостандык,43.14,76.89997,Дымящая труба,1,U04232,0.556,0,2026-12-08,2026-12
R000150,H00016,Бостандык,43.14,76.89997,Дымящая труба,2,U02925,0.505,0,2027-01-09,2027-01
R000151,H00016,Бостандык,43.14,76.89997,Стихийная свалка,4,U00427,0.371,0,2027-05-09,2027-05
R000152,H00017,Бостандык,43.14,76.90747,Стихийная свалка,5,U00880,0.644,1,2027-02-17,2027-02
R000153,H00017,Бостандык,43.14,76.90747,Стихийная свалка,5,U03517,0.28,0,2027-01-02,2027-01
R000154,H00017,Бостандык,43.14,76.90747,Парковка на газоне,4,U04125,0.351,1,2027-02-06,2027-02
R000155,H00017,Бостандык,43.14,76.90747,Парковка на газоне,4,U01749,0.321,1,2027-01-12,2027-01
R000156,H00018,Бостандык,43.14,76.91497,Хорошее место,2,U04232,0.556,1,2027-01-30,2027-01
R000157,H00018,Бостандык,43.14,76.91497,Засохшее дерево,1,U03286,0.406,0,2027-01-20,2027-01
R000158,H00018,Бостандык,43.14,76.91497,Отсутствие озеленения,1,U03524,0.614,1,2027-05-20,2027-05
R000159,H00019,Бостандык,43.14,76.92246,Парковка на газоне,2,U02888,0.426,1,2027-03-09,2027-03
R000160,H00019,Бостандык,43.14,76.92246,Хорошее место,1,U03789,0.199,1,2027-06-19,2027-06
R000161,H00020,Бостандык,43.14,76.92996,Дымящая труба,1,U04446,0.235,1,2027-06-13,2027-06
R000162,H00021,Бостандык,43.14,76.93746,Парковка на газоне,1,U03639,0.445,1,2026-11-27,2026-11
R000163,H00021,Бостандык,43.14,76.93746,Подтопление,1,U04232,0.556,0,2027-05-26,2027-05
R000164,H00022,Бостандык,43.14,76.94496,Сломанная скамейка/фонарь,3,U03105,0.349,1,2027-05-05,2027-05
R000165,H00023,Бостандык,43.14,76.95246,Переполненный бак,3,U04232,0.556,0,2027-02-11,2027-02
R000166,H00023,Бостандык,43.14,76.95246,Дымящая труба,2,U01294,0.614,0,2026-11-16,2026-11
R000167,H00023,Бостандык,43.14,76.95246,Отсутствие озеленения,3,U02160,0.307,0,2027-06-03,2027-06
R000168,H00023,Бостандык,43.14,76.95246,Стихийная свалка,5,U02319,0.423,0,2027-04-17,2027-04
R000169,H00023,Бостандык,43.14,76.95246,Переполненный бак,1,U00343,0.344,1,2026-11-09,2026-11
R000170,H00023,Бостандык,43.14,76.95246,Сломанная скамейка/фонарь,1,U04852,0.631,1,2027-06-18,2027-06
R000171,H00023,Бостандык,43.14,76.95246,Парковка на газоне,3,U01749,0.321,1,2027-01-21,2027-01
R000172,H00023,Бостандык,43.14,76.95246,Сломанная скамейка/фонарь,1,U01272,0.777,0,2026-12-02,2026-12
R000173,H00024,Медеу,43.14,76.95996,Парковка на газоне,1,U04457,0.66,1,2027-05-02,2027-05
R000174,H00024,Медеу,43.14,76.95996,Хорошее место,1,U00735,0.402,1,2026-12-16,2026-12
R000175,H00025,Медеу,43.14,76.96745,Сломанная скамейка/фонарь,2,U04452,0.449,1,2026-12-16,2026-12
R000176,H00026,Медеу,43.14,76.97495,Асфальтированный газон,3,U04107,0.621,1,2027-05-11,2027-05
R000177,H00026,Медеу,43.14,76.97495,Загрязнённый арык,3,U04232,0.556,0,2027-02-13,2027-02
R000178,H00026,Медеу,43.14,76.97495,Стихийная свалка,4,U00956,0.697,1,2026-11-20,2026-11
R000179,H00026,Медеу,43.14,76.97495,Дымящая труба,3,U00280,0.483,1,2027-02-07,2027-02
R000180,H00026,Медеу,43.14,76.97495,Загрязнённый арык,2,U01272,0.777,1,2027-04-25,2027-04
R000181,H00026,Медеу,43.14,76.97495,Парковка на газоне,2,U01147,0.657,0,2026-12-13,2026-12
R000182,H00026,Медеу,43.14,76.97495,Парковка на газоне,3,U00343,0.344,0,2027-05-23,2027-05
R000183,H00026,Медеу,43.14,76.97495,Стихийная свалка,3,U04232,0.556,1,2027-03-05,2027-03
R000184,H00026,Медеу,43.14,76.97495,Переполненный бак,3,U02427,0.369,1,2026-12-30,2026-12
R000185,H00026,Медеу,43.14,76.97495,Дымящая труба,2,U00041,0.744,1,2027-06-13,2027-06
R000186,H00026,Медеу,43.14,76.97495,Переполненный бак,3,U00330,0.633,1,2027-02-18,2027-02
R000187,H00026,Медеу,43.14,76.97495,Парковка на газоне,5,U04232,0.556,1,2027-04-20,2027-04
R000188,H00026,Медеу,43.14,76.97495,Хорошее место,1,U04684,0.501,0,2027-04-13,2027-04
R000189,H00026,Медеу,43.14,76.97495,Сломанная скамейка/фонарь,3,U00390,0.433,1,2027-01-12,2027-01
R000190,H00026,Медеу,43.14,76.97495,Дымящая труба,3,U00019,0.935,0,2027-02-24,2027-02
R000191,H00026,Медеу,43.14,76.97495,Засохшее дерево,2,U04232,0.556,1,2027-06-17,2027-06
R000192,H00026,Медеу,43.14,76.97495,Дымящая труба,4,U00271,0.356,1,2026-11-29,2026-11
R000193,H00026,Медеу,43.14,76.97495,Парковка на газоне,2,U02864,0.502,0,2027-04-10,2027-04
R000194,H00026,Медеу,43.14,76.97495,Подтопление,2,U00897,0.295,1,2027-05-19,2027-05
R000195,H00026,Медеу,43.14,76.97495,Дымящая труба,1,U02065,0.263,1,2027-05-08,2027-05
R000196,H00026,Медеу,43.14,76.97495,Дымящая труба,1,U00014,0.319,1,2027-02-04,2027-02
R000197,H00026,Медеу,43.14,76.97495,Засохшее дерево,3,U04606,0.779,1,2027-01-16,2027-01
R000198,H00026,Медеу,43.14,76.97495,Сломанная скамейка/фонарь,4,U00041,0.744,1,2026-12-10,2026-12
R000199,H00026,Медеу,43.14,76.97495,Пень / вырубка,3,U03517,0.28,1,2027-04-20,2027-04
R000200,H00026,Медеу,43.14,76.97495,Переполненный бак,4,U01058,0.584,1,2026-09-22,2026-09
R000201,H00026,Медеу,43.14,76.97495,Пень / вырубка,3,U05181,0.449,1,2027-05-11,2027-05
R000202,H00026,Медеу,43.14,76.97495,Подтопление,1,U03428,0.427,1,2026-12-26,2026-12
R000203,H00026,Медеу,43.14,76.97495,Отсутствие озеленения,2,U01731,0.3,1,2027-05-17,2027-05
R000204,H00026,Медеу,43.14,76.97495,Стихийная свалка,3,U00439,0.15,0,2027-05-05,2027-05
R000205,H00026,Медеу,43.14,76.97495,Стихийная свалка,5,U05072,0.54,1,2027-04-30,2027-04
R000206,H00026,Медеу,43.14,76.97495,Стихийная свалка,4,U04594,0.411,1,2027-03-28,2027-03
R000207,H00026,Медеу,43.14,76.97495,Загрязнённый арык,1,U04390,0.544,1,2027-02-11,2027-02
R000208,H00026,Медеу,43.14,76.97495,Стихийная свалка,2,U00387,0.379,0,2027-01-19,2027-01
R000209,H00026,Медеу,43.14,76.97495,Хорошее место,3,U01749,0.321,1,2027-05-11,2027-05
R000210,H00026,Медеу,43.14,76.97495,Дымящая труба,3,U04325,0.441,1,2026-12-28,2026-12
R000211,H00026,Медеу,43.14,76.97495,Асфальтированный газон,2,U03031,0.768,1,2027-02-02,2027-02
R000212,H00026,Медеу,43.14,76.97495,Засохшее дерево,3,U03498,0.431,0,2027-04-25,2027-04
R000213,H00026,Медеу,43.14,76.97495,Подтопление,3,U00437,0.805,1,2027-01-22,2027-01
R000214,H00026,Медеу,43.14,76.97495,Засохшее дерево,2,U01213,0.436,1,2026-12-29,2026-12
R000215,H00026,Медеу,43.14,76.97495,Переполненный бак,1,U02266,0.355,0,2027-01-19,2027-01
R000216,H00026,Медеу,43.14,76.97495,Асфальтированный газон,1,U03212,0.934,1,2027-06-01,2027-06
R000217,H00026,Медеу,43.14,76.97495,Хорошее место,3,U04962,0.284,1,2027-05-08,2027-05
R000218,H00026,Медеу,43.14,76.97495,Загрязнённый арык,2,U03252,0.493,1,2027-01-13,2027-01
R000219,H00026,Медеу,43.14,76.97495,Загрязнённый арык,1,U01276,0.16,0,2027-06-10,2027-06
R000220,H00026,Медеу,43.14,76.97495,Парковка на газоне,4,U03411,0.15,1,2027-05-01,2027-05
R000221,H00026,Медеу,43.14,76.97495,Переполненный бак,3,U03517,0.28,1,2027-02-18,2027-02
R000222,H00026,Медеу,43.14,76.97495,Сломанная скамейка/фонарь,2,U00985,0.553,1,2027-04-03,2027-04
R000223,H00026,Медеу,43.14,76.97495,Парковка на газоне,3,U03702,0.15,1,2027-02-19,2027-02
R000224,H00026,Медеу,43.14,76.97495,Стихийная свалка,2,U04484,0.408,1,2027-04-27,2027-04
R000225,H00026,Медеу,43.14,76.97495,Стихийная свалка,2,U04291,0.374,0,2027-01-07,2027-01
R000226,H00026,Медеу,43.14,76.97495,Засохшее дерево,2,U04232,0.556,1,2027-03-01,2027-03
R000227,H00026,Медеу,43.14,76.97495,Асфальтированный газон,2,U04495,0.828,1,2027-01-25,2027-01
R000228,H00026,Медеу,43.14,76.97495,Сломанная скамейка/фонарь,3,U01975,0.695,1,2027-04-16,2027-04
R000229,H00026,Медеу,43.14,76.97495,Асфальтированный газон,2,U02131,0.35,1,2027-02-07,2027-02
R000230,H00026,Медеу,43.14,76.97495,Стихийная свалка,1,U03865,0.502,1,2026-11-04,2026-11
R000231,H00026,Медеу,43.14,76.97495,Парковка на газоне,2,U04360,0.677,1,2027-05-26,2027-05
R000232,H00026,Медеу,43.14,76.97495,Переполненный бак,4,U01748,0.179,1,2027-01-10,2027-01
R000233,H00026,Медеу,43.14,76.97495,Подтопление,2,U04740,0.354,1,2027-03-26,2027-03
R000234,H00026,Медеу,43.14,76.97495,Сломанная скамейка/фонарь,3,U00191,0.884,0,2026-12-20,2026-12
R000235,H00026,Медеу,43.14,76.97495,Пень / вырубка,2,U04232,0.556,0,2027-04-26,2027-04
R000236,H00026,Медеу,43.14,76.97495,Переполненный бак,5,U04232,0.556,0,2027-01-28,2027-01
R000237,H00027,Медеу,43.14,76.98245,Хорошее место,2,U03411,0.15,1,2027-04-22,2027-04
R000238,H00027,Медеу,43.14,76.98245,Стихийная свалка,2,U04040,0.542,0,2027-01-21,2027-01
R000239,H00027,Медеу,43.14,76.98245,Загрязнённый арык,3,U03494,0.253,0,2027-01-28,2027-01
R000240,H00027,Медеу,43.14,76.98245,Загрязнённый арык,1,U04232,0.556,1,2027-05-03,2027-05
R000241,H00027,Медеу,43.14,76.98245,Стихийная свалка,2,U03270,0.15,0,2026-12-26,2026-12
R000242,H00027,Медеу,43.14,76.98245,Хорошее место,2,U01014,0.777,0,2027-05-22,2027-05
R000243,H00027,Медеу,43.14,76.98245,Подтопление,1,U03047,0.15,1,2026-11-03,2026-11
R000244,H00027,Медеу,43.14,76.98245,Дымящая труба,1,U01749,0.321,1,2027-06-16,2027-06
R000245,H00027,Медеу,43.14,76.98245,Парковка на газоне,2,U00482,0.291,1,2027-03-21,2027-03
R000246,H00027,Медеу,43.14,76.98245,Сломанная скамейка/фонарь,3,U01670,0.799,1,2027-04-05,2027-04
R000247,H00027,Медеу,43.14,76.98245,Парковка на газоне,1,U04495,0.828,1,2027-02-10,2027-02
